name,price,conf,percent,publish_time
BTC,6877961768730,3177837398,0.0004620318496749627,1722213134
ETH,329028750000,139054400,0.0004226208196092287,1722213134
BNB,58763733690,53532606,0.0009109803383563731,1722213134
ARB,72172412,74222,0.0010283984966443964,1722213134
CAKE,195950000,280518,0.0014315794845623884,1722213134
SOL,18771545827,17085673,0.0009101899842166899,1722213134
XRP,60225218,54188,0.000899755979297576,1722213134
ADA,41305421,38203,0.000924890706234419,1722213134
AAVE,10039010150,9524396,0.0009487385566593934,1722213134
INJ,2474001990,2598941,0.0010505007718284009,1722213134
LINK,1354491596,1538634,0.001135949462177394,1722213134
BTC,6877442601995,3497079367,0.0005084854311958302,1722213135
ETH,329018225860,138774140,0.0004217825308530159,1722213135
BNB,58764708674,39143608,0.0006661074117996741,1722213135
ARB,72173306,78364,0.0010857753973470467,1722213135
CAKE,195950000,286326,0.0014612196989027813,1722213135
SOL,18773438671,17807171,0.0009485300648467439,1722213135
XRP,60225176,52136,0.0008656844772026902,1722213135
ADA,41311268,41416,0.0010025351920933533,1722213135
AAVE,10037014000,8971769,0.0008938683357420842,1722213135
INJ,2474321827,2915923,0.0011784736197940026,1722213135
LINK,1354567728,1600228,0.0011813569502078082,1722213135
BTC,6877442601995,3712645022,0.0005398292994728943,1722213136
ETH,329018225860,138774140,0.0004217825308530159,1722213136
BNB,58764766516,49874042,0.0008487065457227792,1722213136
ARB,72174812,79870,0.001106618746717345,1722213136
CAKE,195950000,286326,0.0014612196989027813,1722213136
SOL,18773406632,17503067,0.0009323330252787122,1722213136
XRP,60225175,52135,0.0008656678872249022,1722213136
ADA,41314189,40062,0.0009696910666696131,1722213136
AAVE,10035854890,10130879,0.001009468461933889,1722213136
INJ,2474469042,2781881,0.0011242335033424112,1722213136
LINK,1354600000,1547847,0.0011426598257788278,1722213136
BTC,6877182494836,3370492741,0.0004900979061600976,1722213137
ETH,329015975423,120024577,0.0003647986297494831,1722213137
BNB,58761833698,46941224,0.0007988386516535422,1722213137
ARB,72173907,69251,0.0009595018875727485,1722213137
CAKE,195949547,247812,0.0012646724822487087,1722213137
SOL,18772215731,12600884,0.0006712518213388733,1722213137
XRP,60224906,55501,0.0009215622520025187,1722213137
ADA,41314189,44936,0.0010876650634482985,1722213137
AAVE,10035854890,8979235,0.0008947155073901233,1722213137
INJ,2475334883,2822245,0.0011401467411066254,1722213137
LINK,1354535479,1354535,0.0009999996463732346,1722213137
BTC,6876950345541,3426275821,0.000498226052078679,1722213138
ETH,329009796406,134844910,0.0004098507444854335,1722213138
BNB,58755150014,45382098,0.0007723935346805597,1722213138
ARB,72168474,76281,0.0010569850763367948,1722213138
CAKE,195950000,260880,0.0013313600408267415,1722213138
SOL,18770012508,16894416,0.000900074839737022,1722213138
XRP,60225000,60039,0.0009969115815691158,1722213138
ADA,41308151,44576,0.0010791090600980905,1722213138
AAVE,10035980000,10275542,0.0010238703146080402,1722213138
INJ,2475078461,2565823,0.0010366632979236289,1722213138
LINK,1354550000,1497847,0.0011057893765457163,1722213138
BTC,6876750132711,3626488651,0.000527355012326199,1722213139
ETH,329008811324,127081007,0.00038625411425487227,1722213139
BNB,58756027516,49926328,0.0008497226601373695,1722213139
ARB,72166033,73840,0.0010231960512503161,1722213139
CAKE,195949547,261386,0.001333945416061615,1722213139
SOL,18769499764,14158514,0.000754336246464922,1722213139
XRP,60225217,59822,0.0009933048477019186,1722213139
ADA,41309735,41367,0.0010013862349879513,1722213139
AAVE,10035533333,9828875,0.0009794073392870469,1722213139
INJ,2474629356,2853936,0.0011532781638916273,1722213139
LINK,1354500000,1529360,0.001129095607235142,1722213139
BTC,6876661468288,3802337312,0.0005529336189566159,1722213140
ETH,329012927501,136175916,0.000413892296069692,1722213140
BNB,58754964684,52279242,0.0008897842468491271,1722213140
ARB,72158499,80230,0.0011118579392844633,1722213140
CAKE,195949560,267341,0.0013643358015195338,1722213140
SOL,18769420347,15220714,0.000810931489550917,1722213140
XRP,60225318,54713,0.0009084717493729132,1722213140
ADA,41309695,41481,0.0010041468473683962,1722213140
AAVE,10035325000,9447515,0.0009414259129624602,1722213140
INJ,2474668761,2834779,0.0011455185617870254,1722213140
LINK,1354550000,1497847,0.0011057893765457163,1722213140
BTC,6876669229057,3794576543,0.000551804429819922,1722213141
ETH,329016751500,132704314,0.0004033360410830024,1722213141
BNB,58755000000,54427897,0.0009263534507701472,1722213141
ARB,72157621,80131,0.001110499471705144,1722213141
CAKE,195949560,267341,0.0013643358015195338,1722213141
SOL,18768319500,15967871,0.0008507885322391278,1722213141
XRP,60225348,65835,0.0010931443683812338,1722213141
ADA,41310639,41437,0.0010030588004218478,1722213141
AAVE,10034348049,9152742,0.0009121411730293869,1722213141
INJ,2474631865,2830763,0.001143912773466206,1722213141
LINK,1354530000,1520000,0.0011221604541796785,1722213141
BTC,6876425240163,3414004305,0.0004964795203559973,1722213142
ETH,329013750000,128906075,0.00039179540368753583,1722213142
BNB,58754766557,44378355,0.0007553149744361088,1722213142
ARB,72154940,77450,0.0010733845804597718,1722213142
CAKE,195950000,264128,0.0013479356978821128,1722213142
SOL,18767000000,16983142,0.0009049470879735706,1722213142
XRP,60225348,64232,0.001066527668715173,1722213142
ADA,41310016,41086,0.0009945771989049823,1722213142
AAVE,10033533790,10037990,0.0010004441316582241,1722213142
INJ,2474623918,2838693,0.0011471209743637498,1722213142
LINK,1354479489,1479489,0.001092293395370862,1722213142
BTC,6876352469503,3424139897,0.0004979587524325212,1722213143
ETH,329008154265,124107079,0.0003772158148397678,1722213143
BNB,58754694644,44306442,0.0007540919456471816,1722213143
ARB,72150072,72582,0.001005986522092452,1722213143
CAKE,195950025,264103,0.001347807942356731,1722213143
SOL,18766122582,15758280,0.0008397195494776823,1722213143
XRP,60225347,64231,0.0010665110821196264,1722213143
ADA,41309849,41253,0.0009986238390752773,1722213143
AAVE,10032807853,9626456,0.0009594976940699116,1722213143
INJ,2474623918,2838693,0.0011471209743637498,1722213143
LINK,1354454319,1461125,0.0010787554659493835,1722213143
BTC,6876823633985,3251366015,0.00047280055270457617,1722213144
ETH,329011403782,147648627,0.0004487644662244919,1722213144
BNB,58748460268,45956063,0.0007822513609779156,1722213144
ARB,72145025,74233,0.0010289413580492903,1722213144
CAKE,195949082,245961,0.0012552291518262892,1722213144
SOL,18767406662,14906662,0.000794284595014548,1722213144
XRP,60222506,57484,0.0009545268674139864,1722213144
ADA,41309673,41428,0.0010028643896551784,1722213144
AAVE,10032503825,10188916,0.0010155905422742264,1722213144
INJ,2474461726,2960615,0.0011964682940503078,1722213144
LINK,1354497088,1498449,0.0011062770184412534,1722213144
BTC,6877076796255,2998203745,0.00043597066512805413,1722213145
